Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC,None,tensile yield stress,EXP,None,298,680000000.0,None,Pa,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC,None,tensile yield stress,EXP,None,298,820000000.0,None,Pa,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC+CR,None,tensile yield stress,EXP,None,298,892000000.0,None,Pa,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC+CR,None,tensile yield stress,EXP,None,298,900000000.0,None,Pa,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC+H,Recrystallized at 1173K for 30min,tensile yield stress,EXP,None,298,1128000000.0,None,Pa,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC+H,Recrystallized at 1173K for 30min,tensile yield stress,EXP,None,298,1128000000.0,None,Pa,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC,None,tensile ductility,EXP,None,298,20.0,None,%,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC,None,tensile ductility,EXP,None,298,15.0,None,%,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC+CR,None,tensile ductility,EXP,None,298,21.0,None,%,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC+CR,None,tensile ductility,EXP,None,298,12.0,None,%,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC+H,Recrystallized at 1173K for 30min,tensile ductility,EXP,None,298,7.0,None,%,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC+H,Recrystallized at 1173K for 30min,tensile ductility,EXP,None,298,4.5,None,%,T1,10.1016/j.jallcom.2023.168821
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC+H,Recrystallized at 1173K for 30min,None,EXP,None,1173,None,None,None,S3.1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC+H,Recrystallized at 1173K for 30min,None,EXP,None,1173,None,None,None,S3.1,10.1016/j.jallcom.2023.168821
1,Al5 Mo5 Nb36 Hf13 Ti41,BCC,AC,None,density,EXP,None,298,7.53,None,g/cm^3,S3.1,10.1016/j.jallcom.2023.168821
1,Al5 Mo7 Nb36 Hf13 Ti39,BCC,AC,None,density,EXP,None,298,7.64,None,g/cm^3,S3.1,10.1016/j.jallcom.2023.168821
2,Ta Mo Nb Cr Ti0.25,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content; Cr2 (Ta, Nb),compressive yield stress,EXP,None,298,3230000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.5,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive yield stress,EXP,None,298,2820000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.75,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive yield stress,EXP,None,298,2700000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti1,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive yield stress,EXP,None,298,2410000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr,BCC+Laves,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ultimate strength,EXP,None,298,3350000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.25,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ultimate strength,EXP,None,298,3250000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.5,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ultimate strength,EXP,None,298,3020000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.75,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ultimate strength,EXP,None,298,3100000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti1,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ultimate strength,EXP,None,298,2690000000.0,None,Pa,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr,BCC+Laves,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ductility,EXP,None,298,10.3,0.1,%,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.25,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ductility,EXP,None,298,11.8,0.6,%,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.5,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ductility,EXP,None,298,13.3,0.7,%,T3,10.1016/j.msea.2024.146394
2,Ta Mo Nb Cr Ti0.75,BCC+Laves+TiON,MA+SPS,Ultrafine grain (<1um); O and N introduced during MA; Laves fraction decreases with Ti content,compressive ductility,EXP,None,298,16.8,0.6,%,T3,10.1016/j.msea.2024.146394
