Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
None,FeCoNiPdCu0.5,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdCu1,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdCu1.5,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdCu2,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdV0.5,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdV1,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdV1.5,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdV2,FCC,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,None,10.1016/j.intermet.2025.108929
None,FeCoNiPdMn0.5,FCC+L10,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,S1,10.1016/j.intermet.2025.108929
None,FeCoNiPdMn1,FCC+L10,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,S1,10.1016/j.intermet.2025.108929
None,FeCoNiPdMn1.5,FCC+L10,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,S1,10.1016/j.intermet.2025.108929
None,FeCoNiPdAl0.5,FCC+B19,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,S2,10.1016/j.intermet.2025.108929
None,FeCoNiPdAl1,FCC+B2,AAM,small 4g samples prepared by arc melting,None,None,None,None,None,None,None,S2,10.1016/j.intermet.2025.108929
