Name:,Adam Krajewski
Email:,ak@ainm.io
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
AC,Ni43.9 Co17 Fe12 Cr9 Al18 B0.1,FCC+B2,AC,Eutectic alloy designed with CALPHAD to be FCC+B2,tensile yield stress,EXP,1e-3 strain rate,298.0,630000000.0,None,Pa,F5a,10.1016/j.actamat.2026.122256
RAC,Ni43.9 Co17 Fe12 Cr9 Al18 B0.1,FCC+L10,RAC(A)+CR,Eutectic alloy designed with CALPHAD to be FCC+B2; rolling and annealing cycles (RAC) processing with 5 cycles being cold rolled to 20% reduction and annealed at 1423K for 5min,tensile yield stress,EXP,1e-3 strain rate,298.0,720000000.0,None,Pa,F5a,10.1016/j.actamat.2026.122256
AC,Ni43.9 Co17 Fe12 Cr9 Al18 B0.1,FCC+B2,AC,Eutectic alloy designed with CALPHAD to be FCC+B2,UTS,EXP,1e-3 strain rate,298.0,840000000.0,None,Pa,F5a,10.1016/j.actamat.2026.122256
RAC,Ni43.9 Co17 Fe12 Cr9 Al18 B0.1,FCC+L10,RAC(A)+CR,Eutectic alloy designed with CALPHAD to be FCC+B2; rolling and annealing cycles (RAC) processing with 5 cycles being cold rolled to 20% reduction and annealed at 1423K for 5min,UTS,EXP,1e-3 strain rate,298.0,1380000000.0,None,Pa,F5a,10.1016/j.actamat.2026.122256
AC,Ni43.9 Co17 Fe12 Cr9 Al18 B0.1,FCC+B2,AC,Eutectic alloy designed with CALPHAD to be FCC+B2,tensile ductility,EXP,1e-3 strain rate,298.0,7.8,None,%,F5a,10.1016/j.actamat.2026.122256
RAC,Ni43.9 Co17 Fe12 Cr9 Al18 B0.1,FCC+L10,RAC(A)+CR,Eutectic alloy designed with CALPHAD to be FCC+B2; rolling and annealing cycles (RAC) processing with 5 cycles being cold rolled to 20% reduction and annealed at 1423K for 5min,tensile ductility,EXP,1e-3 strain rate,298.0,24.2,None,%,F5a,10.1016/j.actamat.2026.122256
None,Ni45.5 Co11.2 Cr3.6 Fe7.9 Al31.8,BCC,None,72 atom random supercell; based on 3D-APT composition measurement,stacking fault energy,DFT,VASP,None,0.646,None,J/m^2,None,10.1016/j.actamat.2026.122256
Y0,Ti55 Zr10 V15 Nb10 Al10,BCC,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched,density,EXP,None,298.0,5300.0,None,kg/m^3,T2,10.1016/j.ijplas.2026.104622
Y0.3,Ti54.80 Zr9.96 V14.95 Nb9.96 Al9.96 Y0.15 O0.22,BCC+Y2O3,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched; Y2O3 nanoparticles added to the melt,density,EXP,None,298.0,5290.0,None,kg/m^3,None,10.1016/j.ijplas.2026.104622
Y0,Ti55 Zr10 V15 Nb10 Al10,BCC,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched,tensile yield stress,EXP,None,298.0,960000000.0,10000000.0,Pa,None,10.1016/j.ijplas.2026.104622
Y0.3,Ti54.80 Zr9.96 V14.95 Nb9.96 Al9.96 Y0.15 O0.22,BCC+Y2O3,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched; Y2O3 nanoparticles added to the melt,tensile yield stress,EXP,None,298.0,1370000000.0,20000000.0,Pa,None,10.1016/j.ijplas.2026.104622
Y0,Ti55 Zr10 V15 Nb10 Al10,BCC,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched,UTS,EXP,None,298.0,1010000000.0,10000000.0,Pa,None,10.1016/j.ijplas.2026.104622
Y0.3,Ti54.80 Zr9.96 V14.95 Nb9.96 Al9.96 Y0.15 O0.22,BCC+Y2O3,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched; Y2O3 nanoparticles added to the melt,UTS,EXP,None,298.0,1490000000.0,15000000.0,Pa,None,10.1016/j.ijplas.2026.104622
Y0,Ti55 Zr10 V15 Nb10 Al10,BCC,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched,tensile ductility,EXP,None,298.0,18.1,1.5,%,None,10.1016/j.ijplas.2026.104622
Y0.3,Ti54.80 Zr9.96 V14.95 Nb9.96 Al9.96 Y0.15 O0.22,BCC+Y2O3,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched; Y2O3 nanoparticles added to the melt,tensile ductility,EXP,None,298.0,15.3,0.6,%,None,10.1016/j.ijplas.2026.104622
Y0,Ti55 Zr10 V15 Nb10 Al10,BCC,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched,uniform elongation,EXP,None,298.0,2.5,0.8,%,None,10.1016/j.ijplas.2026.104622
Y0.3,Ti54.80 Zr9.96 V14.95 Nb9.96 Al9.96 Y0.15 O0.22,BCC+Y2O3,AAM+HR+RX+WQ,hot rolled at 873K to 85% reduction then recrystallized at 1073K for 1h and water quenched; Y2O3 nanoparticles added to the melt,uniform elongation,EXP,None,298.0,7.0,0.5,%,None,10.1016/j.ijplas.2026.104622
